LOCALITY,LOCALITY_TYPE,LOCALITY_ID,LATITUDE,LONGITUDE,STATE_CODE,Number_of_checklists
Swallowtail Wetland,H,L5781255,39.157599,-95.008121,US-KS,228
American Canyon Wetlands--Eucalyptus Rd.,H,L590817,38.1808883,-122.2774029,US-CA,227
East Bangor Wetland Complex,H,L1842156,40.8855314,-75.180763,US-PA,227
"Uptack Rd. Wetland, Groveland",H,L675807,42.7336483,-71.0429192,US-MA,226
Lexington St. Pond and wetlands,H,L6326941,45.9902219,-112.5300783,US-MT,226
Lower Pueblo Canyon Wetlands (Santa Fe Co.),H,L3621918,35.8802185,-106.2329328,US-NM,225
Carse Wetlands (UVM Natural Area),H,L5912437,44.3088637,-73.1266308,US-VT,224
Paynes Creek Wetland,H,L390301,40.2731667,-122.187,US-CA,223
"West Seneca Wetlands, Meyer Rd.",H,L5770141,42.8469652,-78.7724981,US-NY,223
Edinburg Scenic Wetlands and World Birding Center,P,L4863095,26.2901017,-98.1333482,US-TX,223
Lynnwood - Creekside Plaza & Wetlands,P,L1544162,47.813862,-122.300623,US-WA,221
Wetland 14 Natural Area,H,L11032501,47.4513909,-122.0984315,US-WA,220
Neawanna Wetland Ecological Observatory,H,L1035494,45.9807707,-123.9225512,US-OR,219
BJ Bishop Wetlands (Presidio),H,L3686979,29.541114,-104.317778,US-TX,219
Formosa-Tejano Wetlands (CTC 017)--E. of TX172 platform/ponds,H,L6953560,28.8005726,-96.4604551,US-TX,219
Ton Tache Wetlands (Atwell Island BLM),H,L930528,35.8448951,-119.497932,US-CA,218
St. Joseph Wetland,H,L2708311,40.1144352,-88.0490363,US-IL,217
Narbeck Wetland Sanctuary,H,L445502,47.9347023,-122.2609354,US-WA,216
N Mather Dr.--wetland,H,L796889,38.5685523,-121.2791061,US-CA,215
Waterview Retention Pond & Wetlands,H,L13051692,29.676,-95.724,US-TX,215
MDOT Wetlands,H,L726126,44.4449332,-85.4609299,US-MI,212
Elmer & Edna Culver Wetlands Conservancy,H,L2347499,43.2065584,-89.2812806,US-WI,211
La Mancha Wetlands & Rio Grande,H,L4570587,32.2767826,-106.8289327,US-NM,210
Fairview Park Wetlands,H,L2093003,33.6664968,-117.940979,US-CA,209
"The Cottage (Momence Wetlands Unit), Kankakee IL",P,L1180269,41.1595696,-87.5983876,US-IL,209
Fort Gratiot wetland,H,L10032189,43.0431668,-82.4805833,US-MI,209
Mason Wetlands,H,L2043345,45.5526755,-122.4886537,US-OR,209
North Fork Wetlands,H,L169981,38.82499,-77.66929,US-VA,208
Fife--Sha Dadx Wetland,H,L2318634,47.2278746,-122.3620749,US-WA,208
Hendry Creek headwater wetland area,H,L4355354,26.5198636,-81.8755352,US-FL,206
State Game Lands 122--North/Koochogey Wetlands,H,L9327092,41.7012477,-79.8006576,US-PA,206
Sankofa Wetland Park,H,L10843015,29.9741375,-89.9998498,US-LA,203
Prairie Wetlands Learning Center,H,L910521,46.2648964,-96.064024,US-MN,203
Commerce Road Wetlands,H,L10813340,40.872354,-74.3217683,US-NJ,203
SW 14th St. Wetlands,H,L2739826,38.0288927,-97.3629856,US-KS,201
Eaton Estate Wetland,P,L13244587,41.3425597,-81.5498135,US-OH,200
Cascade Meadow Wetlands and Environmental Science Center,H,L1183477,44.0386762,-92.5051403,US-MN,199
Peone Prairie Wetland,H,L446528,47.7802895,-117.2673798,US-WA,199
Kaiser Wetlands,H,L15983855,47.0666378,-122.9585987,US-WA,199
Quogue Village Wetlands Preserve,H,L1636742,40.8155192,-72.5728553,US-NY,197
Turkey Creek Wetland Park and Greenway,H,L209824,35.9035973,-84.1445686,US-TN,197
06 Wetland - frontage road,P,L578926,46.6547386,-112.010293,US-MT,196
Mintdale Rd. wetland,H,L2091302,41.8387793,-85.5801931,US-MI,192
Jackson Miles Abbott Wetlands Refuge,H,L283471,38.7267105,-77.1323569,US-VA,191
Seaquest SP -- Wetland Haven Trail,H,L1023024,46.2936673,-122.8197455,US-WA,191
Limon Wetlands & Doug Kissel Pond,H,L798078,39.2593233,-103.6772382,US-CO,190
Cowlitz valley--Peters Rd. wetlands,H,L1609620,46.5286801,-121.9774759,US-WA,190
Marlin Pound Neighborhood Park and wetlands,H,L11683028,37.7169206,-121.7451309,US-CA,189
Muddy Brook Wetland Reserve,H,L673584,44.430792,-73.1482387,US-VT,188
Deforest Wetlands--S end of Deforest Park to Del Amo,H,L7732526,33.8601864,-118.196926,US-CA,187
Normantown Wetlands,H,L1628754,41.6456436,-88.1395862,US-IL,187
Towamencin Ave. Wetlands,H,L4569945,40.2482361,-75.3392329,US-PA,187
"McKoons Rd., pond and wetlands",H,L3870557,42.9231676,-75.0336277,US-NY,186
Kedzie-Eagle Lake wetland,P,L9335709,41.36788,-87.689125,US-IL,185
Clark and Butler Rd. wetland,H,L5714431,42.5146895,-85.0958061,US-MI,185
Chino Creek Wetlands,H,L802762,33.965644,-117.6771784,US-CA,184
Clover Cemetery and Wetlands,H,L1648709,39.9617179,-83.1690719,US-OH,184
Pullman--City View Wetlands,H,L3783327,46.7268743,-117.1918058,US-WA,184
San Luis NWR--Wetland Trail and headquarters area,H,L1298309,37.1760005,-120.7997873,US-CA,182
"West Essex Wetlands, Livingston, New Jersey, US (40.808, -74.344)",H,L14094979,40.8078968,-74.3444694,US-NJ,181
Jackson Bottom Wetlands Preserve--Survey Area 2,H,L3546292,45.5028429,-122.9867426,US-OR,180
Oso Bay Wetlands Preserve--Holly Hike & Bike Trail,H,L11014997,27.6748465,-97.3289764,US-TX,180
South Desert Hot Springs--Industrial Wetlands,H,L4146887,33.9181588,-116.4874524,US-CA,179
San Bernard NWR--Wolfweed Wetlands,H,L2803406,28.8841366,-95.5882645,US-TX,179
Neff Wetland,P,L1208283,40.9975529,-91.944623,US-IA,178
Poseyville Rd. wetland,H,L1860479,43.6039604,-84.2499414,US-MI,178
Corteva Wetland Preserve (formerly Dow Wetlands Preserve),H,L826867,38.0213201,-121.8318558,US-CA,177
Hillsdale WA--Brown's Wetlands,H,L2065763,38.7105377,-94.8737454,US-KS,177
Gloyd Seeps Wetland,H,L924821,47.2414827,-119.2848301,US-WA,177
Capitan Wetlands,H,L247014,33.5444904,-105.5659295,US-NM,176
Warrior Run Wetlands,H,L1150032,41.1123147,-76.7891121,US-PA,175
Waterford Wetlands Marsh Trail,H,L3141638,41.53619,-85.83016,US-IN,174
Jackson Bottom Wetlands Preserve--Survey Area 3,H,L3546311,45.5049239,-122.9875579,US-OR,174
Powys Wetland,H,L2843470,41.3496882,-77.0969224,US-PA,174
"Humboldt Bay--northeast tidal wetlands (Jacoby Creek mouth, observation deck, & bay trail)",H,L340454,40.8458831,-124.0832848,US-CA,172
Richard-Smith Working Wetland,P,L2199253,30.4645069,-92.2291946,US-LA,172
Glenn Dale wetland,H,L4116933,38.9677083,-76.8183562,US-MD,172
Williamstown Wetlands,H,L7178477,39.404176,-81.447386,US-WV,172
234th Street Wetlands,H,L4656909,41.2594849,-96.2836754,US-NE,170
Klingel Wetlands,H,L1026047,47.4383349,-122.8616577,US-WA,170
"Lancy Brook wetlands, Brookline",H,L5942479,42.7466592,-71.7079653,US-NH,169
Arroyo Hondo--Pond & Wetlands,H,L1421915,36.5340165,-105.668766,US-NM,169
Jackson Bottom Wetlands Preserve--Survey Area 6,H,L3546331,45.509284,-122.9887944,US-OR,168
Kroger Wetlands,H,L608682,39.4120593,-81.4261794,US-OH,167
South Los Angeles Wetlands Park,H,L1439033,33.9930418,-118.2674232,US-CA,166
West Hylebos Wetlands Park,H,L1170702,47.2896511,-122.329073,US-WA,166
Jake's Wetland,H,L4188477,38.9633291,-119.7711575,US-NV,165
Cosumnes River Preserve--Lost Slough Wetlands,H,L1392906,38.2708356,-121.441348,US-CA,165
Mercer Wetlands,H,L591742,33.8705581,-84.2707801,US-GA,165
Wilderness Wetlands,H,L1499127,38.8258842,-94.6442556,US-KS,165
Dulles Greenway Wetlands Mitigation Project,H,L392038,39.0336028,-77.6150393,US-VA,165
Fireplace Neck Tidal Wetlands,H,L9315964,40.7617621,-72.9062805,US-NY,164
Price Rd. wetlands,H,L2180720,45.24208,-121.2697506,US-OR,164
Cosumnes River Preserve--Lost Slough Wetlands Walk - east,H,L1825270,38.2678366,-121.4379272,US-CA,163
Fry Wetlands (restricted access),H,L4894133,41.091045,-76.705359,US-PA,163
Phragmites wetland,P,L11014289,42.3984486,-71.142392,US-MA,161
Hanging Bog WMA—Briggs Rd wetland,H,L11093693,42.304948,-78.255319,US-NY,161
Ozaukee Interurban Trail/Trinity Creek Wetland Habitat,P,L7074042,43.1929593,-87.9736769,US-WI,160
Stout Heritage Parkway Wetland,H,L11281855,39.705987,-86.360283,US-IN,159
Jackson Bottom Wetlands Preserve--Survey Area 5,H,L3546321,45.508315,-122.9881507,US-OR,159
New Milford Wetland,H,L5821115,41.8688985,-75.7316336,US-PA,159
W 7th Ave E of Oscar St. - wetland area,P,L2637671,44.0517752,-123.1698865,US-OR,158
West Eugene Wetlands--Bike Path,H,L246099,44.050202,-123.1630597,US-OR,158
Urwin Parkway Wetland (view from roadside only),H,L6520812,40.7672637,-82.6133546,US-OH,157
Morris and Butler Wetland Mitigation,H,L11178027,40.1504812,-75.2309323,US-PA,156
Jackson Bottom Wetlands Preserve--Survey Area 4,H,L3546316,45.5066928,-122.9877967,US-OR,155
Cedar Meadows Wetland,H,L6438733,44.9553311,-93.3285141,US-MN,154
White Lake Wetlands Conservation Area--Birding and Nature Trail,H,L2339271,29.9194095,-92.5131333,US-LA,153
Wilbur West Rd. Wetlands,H,L2129015,34.1750812,-91.9818878,US-AR,152
Limberlost Swamp Wetland Preserve (Jay Co.),H,L1486896,40.5689273,-84.9847814,US-IN,152
Home - yard and wetland,P,L4574931,42.458343,-85.687439,US-MI,152
Black Fork Wetlands Preserve,H,L789018,40.8109185,-82.4150348,US-OH,152
Gardner Road Wetlands,H,L8943033,47.5606011,-117.4882995,US-WA,152
Roby Shomaker Wetlands Park,H,L2972552,36.0858351,-81.9300742,US-NC,151
Old Swamp Rd. Wetlands (roadside access only),H,L2833515,41.0945089,-76.7437184,US-PA,151
"wooded wetlands, grasslands, private",P,L5114018,43.5396961,-87.8673434,US-WI,151
Jackson Bottom Wetlands Preserve--Survey Area 8,H,L3546342,45.5042415,-122.9759574,US-OR,150
Lester FedEx Complex Wetlands,H,L2725782,39.8644662,-75.2813525,US-PA,150
Snowmass Rodeo wetlands,H,L12475019,39.2267924,-106.9204588,US-CO,149
Springtown Wetlands Preserve,H,L384185,37.7194413,-121.7413259,US-CA,148
Pecatonica Wetlands Forest Preserve,H,L1783805,42.3280306,-89.3745536,US-IL,148
Hancock County Sanitary Landfill Wetland,H,L482669,41.1212629,-83.6770248,US-OH,148
Audubon Wetlands Preserve,H,L559161,40.8614077,-82.2612476,US-OH,146
Exton Walmart Wetlands,H,L2315891,40.0210459,-75.63411,US-PA,146
Rockport- Live Oak Country Club Rd wetlands,H,L2048322,28.0049828,-97.1221018,US-TX,146
Slate Creek Wetland WA,H,L618570,37.1880615,-97.2037375,US-KS,145
Supawna NWR--Grassland Trail & Wetlands Overlook,H,L2195317,39.6116891,-75.5276799,US-NJ,145
Austin Co.--FM1458 Wetlands & surrounding area,H,L2826144,29.7172031,-96.0594749,US-TX,145
Seneca Meadows Wetland Preserve,H,L1179510,42.9345166,-76.8230799,US-NY,144
South Meadows Pkwy Retention Pond and Wetlands,H,L4720343,39.4545077,-119.7358722,US-NV,143
Tovar Trail Roadside Wetland,H,L2656708,35.0970536,-111.6846728,US-AZ,143
PaulDouglasWetland--T5,P,L124791,42.0730455,-88.1095576,US-IL,143
"Mink Brook wetlands area, Hanover",H,L788865,43.6977043,-72.2928393,US-NH,143
Alamo River Wetlands Project--Shank Rd.,H,L1414440,32.9940176,-115.4680527,US-CA,142
Cuyahoga Valley NP--Rockside Station and Rockside Rd. Wetland,H,L2318980,41.3928114,-81.6309071,US-OH,142
Invista Wetlands (CTC 026),H,L569908,28.664985,-96.9452477,US-TX,142
Vivian Rd. x W Fulkerth Rd. wetlands,H,L6084170,37.5077665,-121.0491556,US-CA,141
Great Miami Wetland Mitigation Bank--Former Larch Tree Golf Course,H,L3275329,39.7861972,-84.3313015,US-OH,141
Little Cypress Wetlands,P,L3783978,32.3793567,-80.6891178,US-SC,141
Jacobs Creek Wetlands,H,L5198666,40.1353616,-79.5102465,US-PA,139
Kansas Wetlands Educational Center,H,L1285673,38.4404344,-98.6281595,US-KS,137
Melanie Lane Wetlands,H,L1465087,40.8143518,-74.3937519,US-NJ,137
Aurora Wetlands Park,H,L4030074,41.3080193,-81.3832587,US-OH,137
Union Mills Wetland (private - view from road only,H,L1526230,39.6665511,-77.0339561,US-MD,134
Coffee Lake Creek Wetlands,H,L3299746,45.3261707,-122.7853317,US-OR,134
Wetland Studies and Solutions Inc.,P,L9618060,38.794752,-77.601194,US-VA,134
Depot Hill Road Wetlands,H,L1527542,43.7098737,-73.0425024,US-VT,134
Big Muddy Wetlands,P,L2836436,37.5692086,-89.4656181,US-IL,133
N Rugby Road Wetlands,H,L7735928,35.3993832,-82.5177185,US-NC,133
Brevard College--Townsend Wetlands Garden,H,L11355576,35.2387916,-82.7284964,US-NC,132
Route 6 Wetlands,H,L1762222,43.370432,-76.345643,US-NY,132
Goose Pond Lane Wetlands,H,L365908,30.479339,-84.2438722,US-FL,131
Lake City Treatment Wetland--Restricted Access,H,L6531534,30.1290864,-82.6792645,US-FL,131
Sewickley Wetlands,H,L196205,40.2353414,-79.5975075,US-PA,131
American Canyon Wetlands--Green Island Lagoon,H,L1590533,38.1836817,-122.2865541,US-CA,130
Muddlety Valley Rd. Wetlands,H,L4875282,38.3855476,-80.8082092,US-WV,129
Shindagin Hollow SF--Shindagin Hollow Rd. Wetland,H,L2275886,42.3233842,-76.3357598,US-NY,128
Carson Wetland,H,L4694732,37.009613,-77.392897,US-VA,128
Shepherd University Wetlands Area,H,L3800078,39.440075,-77.8077239,US-WV,128
Wabashiki FWA--Dewey Point Wetland Overlook,H,L585738,39.4669447,-87.4416876,US-IN,127
University at Albany SUNY--Wetland Mitigation Project,H,L1910024,42.67859,-73.82207,US-NY,127
Big Island Wildlife Area--LaRue-Prospect Rd. Wetlands Reserve,H,L6133978,40.5713984,-83.3102844,US-OH,127
Wetland trail Hickam AFB,P,L7001517,21.3167005,-157.9555625,US-HI,126
McDaniel Branch Wetlands,H,L9906124,33.715952,-84.396434,US-GA,126
Eyring Wetlands,H,L3497478,41.7468699,-80.9000051,US-OH,126
Los Cerritos Wetlands Hellman property,H,L4259750,33.7522998,-118.0984426,US-CA,125
Wharton Co.- FM1162 Co. Line Wetland,H,L760017,29.066073,-96.122303,US-TX,125
Jackson Bottom Wetlands Preserve--N. viewing station,H,L1088266,45.5130009,-122.9903018,US-OR,124
Salty Acres Wetlands/surroundings,P,L3258410,45.387844,-122.590007,US-OR,124
Gog-Le-Hi-Te Mitigated Wetlands,P,L988583,47.2516214,-122.4103439,US-WA,124
Five Mile and Victory Wetland,H,L3962950,43.576,-116.31701,US-ID,122
Bellows Air Force Station-Pu'ewai Wetland,P,L8242154,21.3643168,-157.712613,US-HI,121
Kechter Pit wetland,H,L1239694,40.5134076,-104.9950504,US-CO,121
Partrick Wetlands,H,L5127412,41.1582368,-73.3789945,US-CT,121
US-NM-LAL-LANL-Sandia Canyon Wetlands (no public access),P,L2503102,35.8747809,-106.3126776,US-NM,121
Germantown Academy Wetlands,H,L8152467,40.1388871,-75.2186538,US-PA,121
Carlson Rd. Wetland,H,L328764,45.7469959,-88.1938014,US-WI,121
Curtis Wetlands,P,L2755514,40.0682523,-88.3213449,US-IL,120
Old Place Creek Tidal Wetlands Area,H,L1393166,40.6217235,-74.1805068,US-NY,120
Stone Church Rd. Wetland,H,L3544805,41.9395912,-74.1746777,US-NY,120
Koogler Wetland and Prairie Preserve,H,L1453383,39.7655669,-84.0113214,US-OH,120
Loop Island Wetlands,H,L655056,38.2920923,-85.7935667,US-IN,118
Big Star Lake north bay wetlands area,P,L929939,43.8400987,-85.9578896,US-MI,118
Springfield Area ag fields and wetlands,H,L6874563,43.151871,-89.491898,US-WI,118
Jefferson Pkwy Wetlands,H,L2792663,44.4381312,-93.1454158,US-MN,117
McMahon Rd wetland,H,L4675119,43.165265,-88.507844,US-WI,117
Stateline Wetlands,H,L359156,46.7313897,-117.0377827,US-ID,115
Isleta Wetland (from road only),H,L200084,34.8829213,-106.7173024,US-NM,115
High Point Commons Wetland,H,L1252330,40.2463518,-76.8080807,US-PA,115
Camp Newaygo--Wetland Trail,H,L7004837,43.4608938,-85.7992744,US-MI,114
S. Johnson Rd. Wetland and Sod Farm,H,L1273357,42.6170967,-89.1298485,US-WI,114
Las Vegas Urban--Clark County Wetlands Park (Powerline Crossing Trailhead),H,L4312654,36.1009543,-114.9373019,US-NV,113
Itchepackesassa Creek Wetland,H,L3064485,28.060513,-82.0305884,US-FL,113
City of Columbia Wetland Cell #2,H,L677844,38.8720742,-92.4363899,US-MO,113
"Elk Grove Creek Wetlands, Elk Grove",H,L7499038,38.4225746,-121.4030887,US-CA,112
Cirtus Grove Park and Wetlands,H,L5191166,27.1777611,-80.3189474,US-FL,112
Barstow Road Wetlands,P,L4504828,41.512314,-90.372811,US-IL,112
LaGrange 200 North Wetland,H,L6083940,41.6716939,-85.4369676,US-IN,112
Randalls Island--Freshwater Wetlands (Little Hell Gate Inlet),H,L1785366,40.7912493,-73.9241211,US-NY,112
Thomas Creek Wetlands,H,L301584,43.0992,-77.4354163,US-NY,110
Gaines Road Field & Wetland,H,L11296111,34.5391631,-82.8919023,US-SC,110
Walmart pond and wetlands,P,L2760351,27.0243875,-82.0475399,US-FL,109
North Creek Wetlands (Snohomish Co.),H,L1052691,47.7767423,-122.1893728,US-WA,109
Greenwood Urban Wetlands,H,L518777,28.5351435,-81.3620853,US-FL,108
Pintail Wetland,H,L2123058,42.497985,-93.1424332,US-IA,108
Sexton Creek Wetlands,H,L3510775,37.285722,-89.4336963,US-IL,108
I-99 Tipton Wetland,H,L3313369,40.644215,-78.272941,US-PA,108
Kuhni Wetlands--East Bay,H,L251454,40.198885,-111.6444567,US-UT,108
Ikea Wetlands,H,L3492328,39.0227056,-76.93096,US-MD,107
Modern Disposal Wetland,H,L1507076,43.2169725,-78.9554091,US-NY,107
Croy Creek Wetlands,H,L1814498,43.5130669,-114.3199193,US-ID,106
Walkinshaw Wetlands,H,L367090,43.6806179,-86.0669738,US-MI,106
White Oak Creek Greenway--Wetland,H,L1527468,35.7772843,-78.8890115,US-NC,106
"Koller Wetlands, Tualatin, OR",P,L3113090,45.3598503,-122.7923548,US-OR,106
Yarrow Bay Wetlands,H,L2776051,47.6449441,-122.2060776,US-WA,105
Caliente Ranch Wetland,H,L297277,34.9901746,-119.8007052,US-CA,104
Rogersville-Jamestown City Park Wetland Areas,H,L2729812,37.1122153,-93.0791488,US-MO,102
St. Anne Woods and Wetlands,H,L3135124,39.034332,-84.370605,US-KY,101
Jacksons Pond and Kiowa Creek wetlands,H,L2165491,38.4675009,-102.7787411,US-CO,100
Saddlebrook Wetland Trail,H,L1663202,41.6247023,-91.4960359,US-IA,100
Ionia SRA--Old Hartwell wetlands,H,L1130700,42.9472819,-85.1541281,US-MI,100
Hwy. 64 Wetlands,H,L11338314,45.113668,-88.29485,US-WI,100
Hogchute Bridge Wetlands (roadside viewing only),H,L5293907,39.9819213,-88.6918116,US-IL,99
Big Muddy Wetlands,H,L3864052,37.571215,-89.464983,US-IL,99
DEC Wetlands--Gidds Bay,P,L2195467,41.134023,-72.281739,US-NY,99
"Baskett Slough, South Facing Wetland Only, Dallas US-OR (44.9592,-123.2686)",P,L6588438,44.959245,-123.268648,US-OR,99
Zebedee Wetlands,H,L1498772,43.8239416,-72.2252009,US-VT,99
"Dunham Wetland &  Stop n Shop, New Fairfield",P,L8910931,41.4690112,-73.4851379,US-CT,98
UNI Wetland and Dry Run Creek,H,L2347232,42.5208724,-92.4697781,US-IA,98
Greencove Wetlands,H,L897708,40.1786274,-80.4020691,US-PA,97
Univ. of Tex. Port Aransas Marine Science Institute Wetlands,H,L2335549,27.8358125,-97.0516562,US-TX,97
Mulberry Run Constructed Wetland,H,L6875948,38.0770601,-78.9030844,US-VA,97
Pt. Reyes Station -- Los Reyes Drive -- Giacomini Wetlands,P,L341456,38.0725405,-122.8141122,US-CA,96
"wetland by Rt. 93, Holderness",H,L896745,43.7512572,-71.6720581,US-NH,96
SE Las Vegas Wetlands (from Co. Rd. 23),H,L1511408,35.575262,-105.2102129,US-NM,95
Trempealeau NWR--Entrance Rd. Wetlands,H,L886112,44.0522242,-91.5166283,US-WI,95
Olive City Ag and Nature Center--Neva and East Ave. wetland,H,L2797881,39.9430811,-122.1473694,US-CA,94
Cutler City Wetlands,H,L1448414,44.9171055,-124.0122913,US-OR,94
Bardwell Lake--Buffalo Creek Wetlands/Bardwell Dam rd. area,H,L739203,32.2471434,-96.640141,US-TX,94
Navajo SP--Sambrito Wetlands (Colorado),H,L1784882,37.0016334,-107.4724032,US-CO,93
Holcim Wetlands (Private: View from hwy only),H,L1133222,38.3935491,-105.0279719,US-CO,93
John W. Stevens Wetlands Education Center (Bryan Co.),H,L878731,31.9482477,-81.3015962,US-GA,93
"The Reserve Wetlands, Clear Lake",H,L10137606,29.612343,-95.129032,US-TX,93
Rogers Walmart Wetland Restoration,H,L12942826,36.2808637,-94.1528428,US-AR,92
Winsted: Rowley St. (Forest View Cemetery & Still R. wetlands),H,L6271933,41.9173888,-73.0605662,US-CT,92
Jug Bay Wetlands--Otter Point-Two Run Trail Loop,H,L5939838,38.7804839,-76.7030078,US-MD,92
Dawn Pond and  wetlands,H,L607733,38.0918095,-103.3163738,US-CO,91
Maple Ave Farms North Wetland,P,L5109778,42.7636815,-75.5128741,US-NY,91
Haines-Seville Wetlands,H,L207537,39.9720985,-78.0686588,US-PA,91
Dairy Fork Wetland,H,L4840659,33.5876321,-117.7133131,US-CA,90
Iowa River Landing Wetland Park,H,L7432678,41.6814301,-91.5571296,US-IA,90
Mines of Spain SRA--Horseshoe Bluff & Wetland Trails,H,L2106049,42.4613492,-90.635941,US-IA,90
McHugh wetlands (private property),H,L9814796,42.2088995,-93.8363915,US-IA,90
Blaine Wetland Sanctuary,H,L6683872,45.1849709,-93.1703818,US-MN,90
Numana Wetlands,H,L2816419,39.7228571,-119.3197578,US-NV,89
Cape Bend Wetlands,H,L4205786,37.2776902,-89.4492692,US-IL,89
Congamond Ponds and Wetlands,P,L507402,42.0210517,-72.7678585,US-MA,89
1313 N. Stage Coach Trail wetlands,P,L2226892,34.7661781,-77.4335098,US-NC,89
Lafayette Ave. Connector Wetlands,H,L3800307,40.1342516,-75.2139097,US-PA,89
Koheo Wetland,H,L1274137,21.0846336,-157.0143324,US-HI,88
Oakville Yard / Feeders / and Wetland Woods,P,L864211,41.5919667,-73.0751167,US-CT,88
Wetlands at Wagner Rd and Dunkerton Rd,H,L5514268,42.5730569,-92.3770487,US-IA,88
Old Columbia Street Trail--Holland Industries wetland,H,L2791291,41.4523346,-87.6361379,US-IL,88
Undeveloped Woodland/Wetland South of Lake St. and West of West St.,P,L4586433,41.2421263,-85.8654928,US-IN,88
Knox Wetland,H,L1573369,42.6716667,-74.1275414,US-NY,88
Tioga-Hammond Lakes--Rte. 287 Osprey Wetlands,H,L2777764,41.8720274,-77.212472,US-PA,88
Stanfield: North Branch wetlands,P,L7002575,32.9421421,-111.9053831,US-AZ,87
Potato Creek SP--Friends Wetland Trail,H,L4144739,41.538458,-86.380572,US-IN,87
MDOT wetland (92nd west of Clyde Park),H,L2751857,42.7985334,-85.69174,US-MI,87
Jim Schug Trail--Purvis Rd Wetlands,H,L5543053,42.450933,-76.257799,US-NY,87
Sickler Pond Rd./Wetland,H,L16539351,41.6083586,-75.6170779,US-PA,87
Bramble Bush wetlands,H,L8967671,39.6512874,-106.6183598,US-CO,86
Sand Rd. Wetlands,H,L303498,46.7135618,-117.0195849,US-ID,86
Otter Creek Bend Wetland Park,H,L152697,41.96618,-88.3506,US-IL,86
Owings Mills Mall wetland,H,L452085,39.4030402,-76.7864943,US-MD,86
Otter Creek Wetland (Rattlesnake Swamp),H,L7061421,41.2595656,-80.2259874,US-PA,86
Gilbert Dr Wetland,P,L2133941,35.9107424,-84.1521835,US-TN,86
Sugar River Wetlands SNA,H,L3573110,42.981315,-89.565434,US-WI,86
Walley's Hot Springs wetlands,H,L7574729,38.9795276,-119.8337184,US-NV,85
Bluff Road Wetland,P,L11738102,39.2876103,-87.6339401,US-IL,85
Middle Fork River FP--Point Pleasant Wetland,H,L2428765,40.3708742,-87.9704905,US-IL,85
McMillan Dam Wetlands,H,L3988609,32.5952031,-104.3526077,US-NM,85
"Marsh Mill Road, wetlands",H,L925329,43.1175018,-75.9310198,US-NY,85
Kiser Lake Wetlands State Nature Preserve,H,L1479295,40.1795209,-83.9488453,US-OH,85
Summit Bike and Hike Trail--Young Rd. Wetlands,H,L2365092,41.1906748,-81.3991615,US-OH,85
Waubesa Wetlands Wildlife Area,H,L2367578,42.9869651,-89.3447505,US-WI,85
Waubesa Wetlands Preserve (Nature Conservancy),H,L6571786,42.9929376,-89.3581759,US-WI,85
Moraine SP--Muddy Creek Wetland,H,L4530469,40.9716802,-80.0009608,US-PA,84
Murrysville Wetland/Community Park,H,L949115,40.4522376,-79.6239281,US-PA,84
Jackson County Lions Club Wetland,H,L2139407,40.7287263,-106.2877733,US-CO,83
Jackson Bottom Wetlands Preserve--Survey Area 7,H,L3546338,45.51211,-122.9888374,US-OR,83
"Shenandoah Wetlands Bank (private, no access)",H,L2815139,38.0098414,-79.0513408,US-VA,83
Palisades Reservoir wetlands,H,L419819,43.1424246,-111.0313511,US-WY,83
Doral Wetland,H,L2587979,25.8298795,-80.3659902,US-FL,82
stakeout Redwing--Hollis High School wetlands (2016),H,L4382017,42.7370723,-71.5927291,US-NH,82
Dorset Wildlife Area--Tower Rd. Wetland,H,L6348696,41.6913352,-80.6424648,US-OH,82
Winchester Green Circle--Abrams Creek Wetlands Preserve,H,L4808120,39.1759918,-78.1911336,US-VA,82
Chatfield SP--Chatfield Wetlands,H,L804493,39.4992723,-105.0886273,US-CO,81
Guzy Prairie Pothole Wetlands,H,L1168622,39.5448527,-88.812393,US-IL,81
"Wetland Studies and Solutions, Inc.",P,L9520840,38.7955997,-77.6009068,US-VA,81
180th Street Wetland,H,L4705379,45.007902,-94.618326,US-MN,80
Great Rock Road wetland,P,L2906023,43.7863615,-71.4492846,US-NH,80
Mt. Holly Springs Wetlands/Tichy Park,H,L1275436,40.1207443,-77.1839775,US-PA,80
Mountain House Creek park & wetlands,H,L4562144,37.7817478,-121.5425139,US-CA,79
Brunner Island Wetlands,H,L2281030,40.0960886,-76.7054701,US-PA,79
Kincora Wetlands,H,L1792818,39.0296888,-77.4344558,US-VA,78
Coconut Point Wetlands,H,L8890856,26.4100675,-81.8085758,US-FL,77
Wolf Creek Wetland & Wildlife Area,H,L2838632,43.7175292,-92.9347086,US-MN,77
Freeport Wetlands Preserve,H,L2782898,28.942423,-95.3749838,US-TX,77
BB / Baxter Wetland,H,L14613673,43.089207,-89.168804,US-WI,77
Oro-Chico Wetland,H,L13927101,39.6544515,-121.7399749,US-CA,76
Humbug Creek Wetlands near Cummings Park,H,L1377153,38.674079,-121.1395931,US-CA,76
Lovgren/Hunter wetland (private property),P,L3597109,41.4778689,-89.2716032,US-IL,76
Mill Brook Wetlands Trail,H,L2715857,42.7011406,-72.4506283,US-MA,76
Mt. Briar Wetlands Preserve,H,L1135587,39.4412971,-77.6814508,US-MD,76
Whitehead Saline Wetlands,H,L871890,40.8808789,-96.6778851,US-NE,76
